Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
114	https://www.mediamarkt.de/de/search.html?query=lenovo%20laptop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	114	DE	lenovo laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
115	https://www.mediamarkt.de/de/search.html?query=graphics%20card	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	115	DE	graphics card	Desktop	Hi-Tech_POC	n/a	Components	Graphics Card	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
116	https://www.mediamarkt.de/de/search.html?query=gpu	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	116	DE	gpu	Desktop	Hi-Tech_POC	n/a	Components	Graphics Card	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
117	https://www.mediamarkt.de/de/category/prozessoren-cpu-7153.html?query=cpu&queryMeta[ga_query]=cpu&queryMeta[queryHash]=68ab84f7c6d0f5781585eb1b5289499fb29081b918f71ebddb5f72021c9ef9c5&queryMeta[queryRequestId]=68ab84f7c6d0f5781585eb1b5289499fb29081b918f71ebddb5f72021c9ef9c5&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	117	DE	cpu	Desktop	Hi-Tech_POC	n/a	Components	Processor	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
118	https://www.mediamarkt.de/de/list/laptops-asus	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	118	DE	asus laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
119	https://www.mediamarkt.de/de/search.html?query=mini%20computers	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	119	DE	mini computers	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
120	https://www.mediamarkt.de/de/search.html?query=hp%20laptop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	120	DE	hp laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
121	https://www.mediamarkt.de/de/category/gaming-pcs-367.html?query=gaming%20computer&queryMeta[ga_query]=gaming%20computer&queryMeta[queryHash]=6d4a77e3a4953bcbde76f3d6809698c28cc5d3949b3373667c78828a26797bbe&queryMeta[queryRequestId]=6d4a77e3a4953bcbde76f3d6809698c28cc5d3949b3373667c78828a26797bbe&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	121	DE	gaming computer	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
122	https://www.mediamarkt.de/de/search.html?query=computers	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	122	DE	computers	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
123	https://www.mediamarkt.de/de/category/windows-laptops-4384.html?query=windows%20laptop&queryMeta[ga_query]=windows%20laptop&queryMeta[queryHash]=16478f1b79bfa0eba6b10565ad73f41b61277dfcb2a811b39dfa40f5320c8652&queryMeta[queryRequestId]=16478f1b79bfa0eba6b10565ad73f41b61277dfcb2a811b39dfa40f5320c8652&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	123	DE	windows laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
